BOOK_ID,Senti_S1,Senti_S2,Senti_S3,Senti_E1,Senti_E2,Senti_E3,S_count,Avg_S_len,Flesch,W_count,Noun_Cnt
pg12470,109.15948923761425,100.05589457396687,100.71726761283723,119.95312227455084,118.19360608093004,121.13499715772444,6642,15.06323396567299,74.12,100050,512
pg12520,97.52232502011263,108.77537149611618,113.49146931499871,121.6867469879518,108.83564396222624,105.97598162071846,8810,18.377525539160047,64.75,161906,802
pg1253,99.89487088367686,112.8724847683181,104.07125125345465,104.32348441384588,109.3904538341158,103.01553092501368,643,18.91601866251944,76.76,12163,151
pg12672,106.98551587301588,114.22947002492457,104.84312169312169,116.93162805662807,107.61523312752821,106.59106891701828,5115,14.694037145650048,76.15,75160,312
pg1273,113.91028301595311,109.35907571960203,114.56206692097781,96.77735812939895,99.05607802159525,99.70576848625629,732,19.218579234972676,43.26,14068,175
pg12733,111.60694785694784,101.76041666666666,102.31702226345082,99.62962962962963,109.48994252873563,100.35245187818718,10479,17.64777173394408,66.17,184931,1483
pg12886,117.09978070175437,126.37999560825648,99.2502435064935,122.69012212067769,107.50639880952382,109.42199224386724,1560,14.750641025641025,73.41,23011,185
pg12935,115.81560846560845,109.03899240855762,105.25869876651126,112.00566590272472,111.72355847100745,117.43435234175973,5548,12.053713049747657,85.52,66874,241
pg12972,112.34290123456789,110.25796258627585,105.573964131107,106.3300474625776,102.22445626662493,103.79560530679935,4670,14.48950749464668,78.89,67666,363
pg12989,109.76164321789321,112.02022485250333,103.3053751803752,110.7124612297026,104.52154264654266,102.47519310754605,2212,15.135623869801085,71.89,33480,264
pg12,107.68018173452955,105.7769077327901,101.11180324843116,101.77308294209703,103.51892551892551,106.73750228060572,1927,14.58640373637779,69.69,28108,139
pg13057,101.45833333333334,111.10544217687075,109.38450292397661,100.49162257495593,101.33536861148802,100.58398757551299,4243,13.14164506245581,77.57,55760,298
pg13162,111.89214577557274,113.4471908020295,116.46729929961637,114.64368645403127,119.30396663261833,119.08889620846143,1949,13.799897383273473,85.93,26896,168
pg13178,101.42313440527727,105.72504031915797,108.18278432933606,102.00017334757594,96.19263144263144,98.15150438284766,5146,14.433734939759036,78.38,74276,354
